sig,args,wer,wer_per_talk
olivedrabTorchic,"['uda.kernel_size=5', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9268818392837405,"{'AlGore_2009': 0.9617346938775511, 'BarrySchwartz_2005G': 0.9079586877278251, 'BlaiseAguerayArcas_2007': 0.9508748317631225, 'BrianCox_2009U': 0.9475465313028765, 'CraigVenter_2008': 0.9656172328086164, 'DavidMerrill_2009': 0.9361888111888111, 'ElizabethGilbert_2009': 0.8795244385733157, 'WadeDavis_2003': 0.9384213029006182}"
lightpinkPorygon,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9195313363545927,"{'AlGore_2009': 0.9710884353741497, 'BarrySchwartz_2005G': 0.899453219927096, 'BlaiseAguerayArcas_2007': 0.9401076716016151, 'BrianCox_2009U': 0.9289340101522843, 'CraigVenter_2008': 0.9693454846727423, 'DavidMerrill_2009': 0.9265734265734266, 'ElizabethGilbert_2009': 0.8602377807133421, 'WadeDavis_2003': 0.9350927246790299}"
yellowgreenGengar,"['uda.kernel_size=5', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9221841494418039,"{'AlGore_2009': 0.9693877551020408, 'BarrySchwartz_2005G': 0.9003645200486027, 'BlaiseAguerayArcas_2007': 0.946164199192463, 'BrianCox_2009U': 0.9272419627749577, 'CraigVenter_2008': 0.9598177299088649, 'DavidMerrill_2009': 0.9370629370629371, 'ElizabethGilbert_2009': 0.8697490092470277, 'WadeDavis_2003': 0.9384213029006182}"
blackNoctowl,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9259975682546701,"{'AlGore_2009': 0.9693877551020408, 'BarrySchwartz_2005G': 0.905224787363305, 'BlaiseAguerayArcas_2007': 0.9468371467025573, 'BrianCox_2009U': 0.949238578680203, 'CraigVenter_2008': 0.9594034797017399, 'DavidMerrill_2009': 0.9326923076923077, 'ElizabethGilbert_2009': 0.8826948480845442, 'WadeDavis_2003': 0.937470280551593}"
seagreenFeraligatr,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9195866032939096,"{'AlGore_2009': 0.9710884353741497, 'BarrySchwartz_2005G': 0.8991494532199271, 'BlaiseAguerayArcas_2007': 0.9414535666218035, 'BrianCox_2009U': 0.9306260575296108, 'CraigVenter_2008': 0.9697597348798674, 'DavidMerrill_2009': 0.9265734265734266, 'ElizabethGilbert_2009': 0.8599735799207398, 'WadeDavis_2003': 0.9348549690917737}"
cornflowerblueSneasel,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9284845805239306,"{'AlGore_2009': 0.9685374149659864, 'BarrySchwartz_2005G': 0.9055285540704738, 'BlaiseAguerayArcas_2007': 0.9468371467025573, 'BrianCox_2009U': 0.9323181049069373, 'CraigVenter_2008': 0.968102734051367, 'DavidMerrill_2009': 0.9449300699300699, 'ElizabethGilbert_2009': 0.883223249669749, 'WadeDavis_2003': 0.9417498811222064}"
palevioletredCharizard,"['uda.kernel_size=3', 'uda.sigma=2.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9361666850889798,"{'AlGore_2009': 0.9736394557823129, 'BarrySchwartz_2005G': 0.9231470230862697, 'BlaiseAguerayArcas_2007': 0.9454912516823688, 'BrianCox_2009U': 0.9407783417935702, 'CraigVenter_2008': 0.9627174813587407, 'DavidMerrill_2009': 0.9361888111888111, 'ElizabethGilbert_2009': 0.9075297225891678, 'WadeDavis_2003': 0.9424631478839752}"
olivedrabStaryu,"['uda.kernel_size=3', 'uda.sigma=1.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.918812866143473,"{'AlGore_2009': 0.9668367346938775, 'BarrySchwartz_2005G': 0.8848724179829891, 'BlaiseAguerayArcas_2007': 0.9508748317631225, 'BrianCox_2009U': 0.9103214890016921, 'CraigVenter_2008': 0.968102734051367, 'DavidMerrill_2009': 0.9291958041958042, 'ElizabethGilbert_2009': 0.8652575957727873, 'WadeDavis_2003': 0.9388968140751308}"
darkkhakiNinetales,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9436829888360783,"{'AlGore_2009': 0.9761904761904762, 'BarrySchwartz_2005G': 0.931044957472661, 'BlaiseAguerayArcas_2007': 0.9475100942126514, 'BrianCox_2009U': 0.9458544839255499, 'CraigVenter_2008': 0.9627174813587407, 'DavidMerrill_2009': 0.9597902097902098, 'ElizabethGilbert_2009': 0.9254953764861295, 'WadeDavis_2003': 0.9438896814075131}"
mediumvioletredSpearow,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9264397037692053,"{'AlGore_2009': 0.9651360544217688, 'BarrySchwartz_2005G': 0.9034021871202916, 'BlaiseAguerayArcas_2007': 0.949528936742934, 'BrianCox_2009U': 0.937394247038917, 'CraigVenter_2008': 0.9623032311516155, 'DavidMerrill_2009': 0.9370629370629371, 'ElizabethGilbert_2009': 0.8869220607661823, 'WadeDavis_2003': 0.9360437470280552}"
